2 C F0 93 59 1000
4 C F1 53 91 1000
6 C F2 54 43 1000
8 C F3 57 96 1000
10 C F4 32 83 1000
12 C F5 63 49 1000
14 C F6 4 66 1000
16 C F7 62 22 1000
18 C F8 93 17 1000
20 C F9 93 4 1000
22 C F10 36 91 1000
24 C F11 69 46 1000
26 C F12 88 56 1000
28 C F13 12 24 1000
30 C F14 62 28 1000
32 C F15 73 32 1000
34 C F16 77 96 1000
36 C F17 47 32 1000
38 C F18 78 71 1000
40 C F19 81 37 1000
42 C F20 27 85 1000
44 C F21 46 14 1000
46 C F22 30 28 1000
48 C F23 1 93 1000
50 C F24 7 10 1000
52 C F25 30 3 1000
54 C F26 32 52 1000
56 C F27 79 32 1000
58 C F28 38 71 1000
60 C F29 30 41 1000
1772 C A885 55 8 1000 500
1774 C A886 56 7 1000 500
1776 C A887 57 8 1000 500
1778 C A888 58 9 1000 500
1780 C A889 59 7 1000 500
1782 C A890 60 8 1000 500
1784 C A891 61 8 1000 500
1786 C A892 62 8 1000 500
1788 C A893 63 8 1000 500
1790 C A894 64 8 1000 500
1792 C A895 65 7 1000 500
1794 C A896 66 7 1000 500
1796 C A897 67 8 1000 500
1798 C A898 68 8 1000 500
1800 C A899 69 9 1000 500
1802 C A900 70 8 1000 500
1804 C A901 71 8 1000 500
1806 C A902 72 9 1000 500
1808 C A903 73 8 1000 500
1810 C A904 74 8 1000 500
1812 C A905 75 7 1000 500
1814 C A906 76 9 1000 500
1816 C A907 77 8 1000 500
1818 C A908 78 9 1000 500
1820 C A909 79 8 1000 500
1822 C A910 80 8 1000 500
1824 C A911 81 8 1000 500
1826 C A912 82 8 1000 500
1828 C A913 83 6 1000 500
1830 C A914 84 9 1000 500
1832 C A915 85 8 1000 500
1834 C A916 86 8 1000 500
1836 C A917 87 8 1000 500
1838 C A918 88 8 1000 500
1840 C A919 89 9 1000 500
1842 C A920 90 8 1000 500
1844 C A921 91 7 1000 500
1846 C A922 92 8 1000 500
1848 C A923 93 9 1000 500
1850 C A924 94 8 1000 500
1852 C A925 95 9 1000 500
1854 C A926 96 57 1000 500
1856 C A927 97 8 1000 500
1858 C A928 98 8 1000 500
1860 C A929 99 8 1000 500
1862 C A930 0 14 1000 500
1864 C A931 1 57 1000 500
1866 C A932 2 9 1000 500
1868 C A933 3 2 1000 500
1870 C A934 4 14 1000 500
1872 C A935 5 11 1000 500
1874 C A936 6 11 1000 500
1876 C A937 7 12 1000 500
1878 C A938 8 11 1000 500
1880 C A939 9 11 1000 500
1882 C A940 10 11 1000 500
1884 C A941 11 9 1000 500
1886 C A942 12 10 1000 500
1888 C A943 13 10 1000 500
1890 C A944 14 10 1000 500
1892 C A945 15 10 1000 500
1894 C A946 16 10 1000 500
1896 C A947 17 10 1000 500
1898 C A948 18 8 1000 500
1900 C A949 19 10 1000 500
1902 C A950 20 9 1000 500
1904 C A951 21 9 1000 500
1906 C A952 22 9 1000 500
1908 C A953 23 10 1000 500
1910 C A954 24 10 1000 500
1912 C A955 25 9 1000 500
1914 C A956 26 10 1000 500
1916 C A957 27 10 1000 500
1918 C A958 28 10 1000 500
1920 C A959 29 9 1000 500
1922 C A960 30 10 1000 500
1924 C A961 31 10 1000 500
1926 C A962 32 8 1000 500
1928 C A963 33 10 1000 500
1930 C A964 34 9 1000 500
1932 C A965 35 9 1000 500
1934 C A966 36 9 1000 500
1936 C A967 37 5 1000 500
1938 C A968 38 9 1000 500
1940 C A969 39 9 1000 500
1942 C A970 40 10 1000 500
1944 C A971 41 10 1000 500
1946 C A972 42 9 1000 500
1948 C A973 43 10 1000 500
1950 C A974 44 10 1000 500
1952 C A975 45 9 1000 500
1954 C A976 46 9 1000 500
1956 C A977 47 10 1000 500
1958 C A978 48 9 1000 500
1960 C A979 49 9 1000 500
1962 C A980 50 9 1000 500
1964 C A981 51 9 1000 500
1966 C A982 52 9 1000 500
1968 C A983 53 10 1000 500
1970 C A984 54 10 1000 500
1972 C A985 55 9 1000 500
1974 C A986 56 8 1000 500
1976 C A987 57 9 1000 500
1978 C A988 58 10 1000 500
1980 C A989 59 8 1000 500
1982 C A990 60 9 1000 500
1984 C A991 61 9 1000 500
1986 C A992 62 9 1000 500
1988 C A993 63 9 1000 500
1990 C A994 64 9 1000 500
1992 C A995 65 8 1000 500
1994 C A996 66 8 1000 500
1996 C A997 67 10 1000 500
1998 C A998 68 9 1000 500
2000 C A999 69 10 1000 500
2002 C A1000 70 9 1000 500
2004 C A1001 71 9 1000 500
2006 C A1002 72 10 1000 500
2008 C A1003 73 9 1000 500
2010 C A1004 74 9 1000 500
2012 C A1005 75 8 1000 500
2014 C A1006 76 10 1000 500
2016 C A1007 77 9 1000 500
2018 C A1008 78 10 1000 500
2020 C A1009 79 9 1000 500
2022 C A1010 80 9 1000 500
2024 C A1011 81 9 1000 500
2026 C A1012 82 9 1000 500
2028 C A1013 83 7 1000 500
2030 C A1014 84 10 1000 500
2032 C A1015 85 9 1000 500
2034 C A1016 86 10 1000 500
2036 C A1017 87 9 1000 500
2038 C A1018 88 9 1000 500
2040 C A1019 89 10 1000 500
2042 C A1020 90 9 1000 500
2044 C A1021 91 8 1000 500
2046 C A1022 92 9 1000 500
2048 C A1023 93 10 1000 500
2050 C A1024 94 9 1000 500
2052 C A1025 95 10 1000 500
2054 C A1026 96 77 1000 500
2056 C A1027 97 9 1000 500
2058 C A1028 98 9 1000 500
2060 C A1029 99 9 1000 500
2062 C A1030 0 57 1000 500
2064 C A1031 1 77 1000 500
2066 C A1032 2 10 1000 500
2068 C A1033 3 5 1000 500
2070 C A1034 4 57 1000 500
2072 C A1035 5 12 1000 500
2074 C A1036 6 12 1000 500
2076 C A1037 7 13 1000 500
2078 C A1038 8 12 1000 500
2080 C A1039 9 13 1000 500
2082 C A1040 10 12 1000 500
2084 C A1041 11 10 1000 500
2086 C A1042 12 11 1000 500
2088 C A1043 13 11 1000 500
2090 C A1044 14 11 1000 500
2092 C A1045 15 11 1000 500
2094 C A1046 16 11 1000 500
2096 C A1047 17 11 1000 500
2098 C A1048 18 9 1000 500
2100 C A1049 19 11 1000 500
2102 C A1050 20 10 1000 500
2104 C A1051 21 10 1000 500
2106 C A1052 22 10 1000 500
2108 C A1053 23 11 1000 500
2110 C A1054 24 11 1000 500
2112 C A1055 25 10 1000 500
2114 C A1056 26 11 1000 500
2116 C A1057 27 11 1000 500
2118 C A1058 28 11 1000 500
2120 C A1059 29 10 1000 500
2122 C A1060 30 11 1000 500
2124 C A1061 31 11 1000 500
2126 C A1062 32 9 1000 500
2128 C A1063 33 11 1000 500
2130 C A1064 34 10 1000 500
2132 C A1065 35 10 1000 500
2134 C A1066 36 10 1000 500
2136 C A1067 37 6 1000 500
2138 C A1068 38 10 1000 500
2140 C A1069 39 10 1000 500
2142 C A1070 40 11 1000 500
2144 C A1071 41 11 1000 500
2146 C A1072 42 10 1000 500
2148 C A1073 43 11 1000 500
2150 C A1074 44 11 1000 500
2152 C A1075 45 10 1000 500
2154 C A1076 46 10 1000 500
2156 C A1077 47 11 1000 500
2158 C A1078 48 10 1000 500
2160 C A1079 49 10 1000 500
2162 C A1080 50 10 1000 500
2164 C A1081 51 10 1000 500
2166 C A1082 52 10 1000 500
2168 C A1083 53 11 1000 500
2170 C A1084 54 11 1000 500
2172 C A1085 55 10 1000 500
2174 C A1086 56 9 1000 500
2176 C A1087 57 10 1000 500
2178 C A1088 58 11 1000 500
2180 C A1089 59 10 1000 500
2182 C A1090 60 10 1000 500
2184 C A1091 61 10 1000 500
2186 C A1092 62 10 1000 500
2188 C A1093 63 10 1000 500
2190 C A1094 64 10 1000 500
2192 C A1095 65 9 1000 500
2194 C A1096 66 9 1000 500
2196 C A1097 67 11 1000 500
2198 C A1098 68 11 1000 500
2200 C A1099 69 11 1000 500
2202 C A1100 70 10 1000 500
2204 C A1101 71 10 1000 500
2206 C A1102 72 11 1000 500
2208 C A1103 73 10 1000 500
2210 C A1104 74 10 1000 500
2212 C A1105 75 9 1000 500
2214 C A1106 76 11 1000 500
2216 C A1107 77 10 1000 500
2218 C A1108 78 11 1000 500
2220 C A1109 79 10 1000 500
2222 C A1110 80 10 1000 500
2224 C A1111 81 10 1000 500
2226 C A1112 82 10 1000 500
2228 C A1113 83 8 1000 500
2230 C A1114 84 11 1000 500
2232 C A1115 85 10 1000 500
2234 C A1116 86 11 1000 500
2236 C A1117 87 10 1000 500
2238 C A1118 88 10 1000 500
2240 C A1119 89 11 1000 500
2242 C A1120 90 10 1000 500
2244 C A1121 91 9 1000 500
2246 C A1122 92 10 1000 500
2248 C A1123 93 11 1000 500
2250 C A1124 94 10 1000 500
2252 C A1125 95 11 1000 500
2254 C A1126 96 5 1000 500
2256 C A1127 97 10 1000 500
2258 C A1128 98 10 1000 500
2260 C A1129 99 10 1000 500
2262 C A1130 0 77 1000 500
2264 C A1131 1 5 1000 500
2266 C A1132 2 11 1000 500
2268 C A1133 3 6 1000 500
2270 C A1134 4 77 1000 500
2272 C A1135 5 13 1000 500
2274 C A1136 6 13 1000 500
2276 C A1137 7 15 1000 500
2278 C A1138 8 13 1000 500
2280 C A1139 9 14 1000 500
2282 C A1140 10 13 1000 500
2284 C A1141 11 12 1000 500
2286 C A1142 12 13 1000 500
2288 C A1143 13 12 1000 500
2290 C A1144 14 12 1000 500
2292 C A1145 15 12 1000 500
2294 C A1146 16 12 1000 500
2296 C A1147 17 12 1000 500
2298 C A1148 18 10 1000 500
2300 C A1149 19 12 1000 500
2302 C A1150 20 11 1000 500
2304 C A1151 21 11 1000 500
2306 C A1152 22 11 1000 500
2308 C A1153 23 12 1000 500
2310 C A1154 24 12 1000 500
2312 C A1155 25 11 1000 500
2314 C A1156 26 12 1000 500
2316 C A1157 27 12 1000 500
2318 C A1158 28 12 1000 500
2320 C A1159 29 11 1000 500
2322 C A1160 30 12 1000 500
2324 C A1161 31 12 1000 500
2326 C A1162 32 10 1000 500
2328 C A1163 33 12 1000 500
2330 C A1164 34 11 1000 500
2332 C A1165 35 11 1000 500
2334 C A1166 36 11 1000 500
2336 C A1167 37 7 1000 500
2338 C A1168 38 11 1000 500
2340 C A1169 39 11 1000 500
2342 C A1170 40 12 1000 500
2344 C A1171 41 12 1000 500
2346 C A1172 42 11 1000 500
2348 C A1173 43 12 1000 500
2350 C A1174 44 12 1000 500
2352 C A1175 45 11 1000 500
2354 C A1176 46 11 1000 500
2356 C A1177 47 12 1000 500
2358 C A1178 48 11 1000 500
2360 C A1179 49 11 1000 500
2362 C A1180 50 11 1000 500
2364 C A1181 51 12 1000 500
2366 C A1182 52 11 1000 500
2368 C A1183 53 12 1000 500
2370 C A1184 54 12 1000 500
2372 C A1185 55 11 1000 500
2374 C A1186 56 10 1000 500
2376 C A1187 57 11 1000 500
2378 C A1188 58 12 1000 500
2380 C A1189 59 11 1000 500
2382 C A1190 60 11 1000 500
2384 C A1191 61 11 1000 500
2386 C A1192 62 11 1000 500
2388 C A1193 63 11 1000 500
2390 C A1194 64 11 1000 500
2392 C A1195 65 10 1000 500
2394 C A1196 66 10 1000 500
2396 C A1197 67 12 1000 500
2398 C A1198 68 12 1000 500
2400 C A1199 69 12 1000 500
2402 C A1200 70 11 1000 500
2404 C A1201 71 11 1000 500
2406 C A1202 72 12 1000 500
2408 C A1203 73 11 1000 500
2410 C A1204 74 11 1000 500
2412 C A1205 75 10 1000 500
2414 C A1206 76 12 1000 500
2416 C A1207 77 11 1000 500
2418 C A1208 78 12 1000 500
2420 C A1209 79 11 1000 500
2422 C A1210 80 11 1000 500
2424 C A1211 81 11 1000 500
2426 C A1212 82 11 1000 500
2428 C A1213 83 9 1000 500
2430 C A1214 84 12 1000 500
2432 C A1215 85 11 1000 500
2434 C A1216 86 12 1000 500
2436 C A1217 87 11 1000 500
2438 C A1218 88 11 1000 500
2440 C A1219 89 12 1000 500
2442 C A1220 90 11 1000 500
2444 C A1221 91 10 1000 500
2446 C A1222 92 11 1000 500
2448 C A1223 93 12 1000 500
2450 C A1224 94 11 1000 500
2452 C A1225 95 12 1000 500
2454 C A1226 96 6 1000 500
2456 C A1227 97 11 1000 500
2458 C A1228 98 11 1000 500
2460 C A1229 99 11 1000 500
2462 C A1230 0 5 1000 500
2464 C A1231 1 9 1000 500
2466 C A1232 2 12 1000 500
2468 C A1233 3 9 1000 500
2470 C A1234 4 6 1000 500
2472 C A1235 5 14 1000 500
2474 C A1236 6 14 1000 500
2476 C A1237 7 16 1000 500
2478 C A1238 8 15 1000 500
2480 C A1239 9 15 1000 500
2482 C A1240 10 14 1000 500
2484 C A1241 11 13 1000 500
2486 C A1242 12 14 1000 500
2488 C A1243 13 14 1000 500
2490 C A1244 14 13 1000 500
2492 C A1245 15 13 1000 500
2494 C A1246 16 13 1000 500
2496 C A1247 17 13 1000 500
2498 C A1248 18 11 1000 500
2500 C A1249 19 13 1000 500
2502 C A1250 20 12 1000 500
2504 C A1251 21 12 1000 500
2506 C A1252 22 12 1000 500
2508 C A1253 23 13 1000 500
2510 C A1254 24 13 1000 500
2512 C A1255 25 12 1000 500
2514 C A1256 26 13 1000 500
2516 C A1257 27 13 1000 500
2518 C A1258 28 13 1000 500
2520 C A1259 29 12 1000 500
2522 C A1260 30 13 1000 500
2524 C A1261 31 13 1000 500
2526 C A1262 32 12 1000 500
2528 C A1263 33 13 1000 500
2530 C A1264 34 12 1000 500
2532 C A1265 35 12 1000 500
2534 C A1266 36 12 1000 500
2536 C A1267 37 8 1000 500
2538 C A1268 38 12 1000 500
2540 C A1269 39 12 1000 500
2542 C A1270 40 13 1000 500
2544 C A1271 41 13 1000 500
2546 C A1272 42 12 1000 500
2548 C A1273 43 13 1000 500
2550 C A1274 44 13 1000 500
2552 C A1275 45 12 1000 500
2554 C A1276 46 12 1000 500
2556 C A1277 47 13 1000 500
2558 C A1278 48 12 1000 500
2560 C A1279 49 12 1000 500
2562 C A1280 50 12 1000 500
2564 C A1281 51 13 1000 500
2566 C A1282 52 12 1000 500
2568 C A1283 53 13 1000 500
2570 C A1284 54 13 1000 500
2572 C A1285 55 12 1000 500
2574 C A1286 56 11 1000 500
2576 C A1287 57 12 1000 500
2578 C A1288 58 13 1000 500
2580 C A1289 59 13 1000 500
2582 C A1290 60 13 1000 500
2584 C A1291 61 12 1000 500
2586 C A1292 62 12 1000 500
2588 C A1293 63 12 1000 500
2590 C A1294 64 12 1000 500
2592 C A1295 65 11 1000 500
2594 C A1296 66 11 1000 500
2596 C A1297 67 13 1000 500
2598 C A1298 68 13 1000 500
2600 C A1299 69 13 1000 500
2602 C A1300 70 12 1000 500
2604 C A1301 71 12 1000 500
2606 C A1302 72 13 1000 500
2608 C A1303 73 12 1000 500
2610 C A1304 74 12 1000 500
2612 C A1305 75 12 1000 500
2614 C A1306 76 13 1000 500
2616 C A1307 77 12 1000 500
2618 C A1308 78 13 1000 500
2620 C A1309 79 12 1000 500
2622 C A1310 80 12 1000 500
2624 C A1311 81 12 1000 500
2626 C A1312 82 12 1000 500
2628 C A1313 83 10 1000 500
2630 C A1314 84 13 1000 500
2632 C A1315 85 12 1000 500
2634 C A1316 86 13 1000 500
2636 C A1317 87 12 1000 500
2638 C A1318 88 12 1000 500
2640 C A1319 89 13 1000 500
2642 C A1320 90 12 1000 500
2644 C A1321 91 11 1000 500
2646 C A1322 92 12 1000 500
2648 C A1323 93 13 1000 500
2650 C A1324 94 12 1000 500
2652 C A1325 95 13 1000 500
2654 C A1326 96 7 1000 500
2656 C A1327 97 12 1000 500
2658 C A1328 98 12 1000 500
2660 C A1329 99 12 1000 500
2662 C A1330 0 6 1000 500
2664 C A1331 1 10 1000 500
2666 C A1332 2 13 1000 500
2668 C A1333 3 10 1000 500
2670 C A1334 4 10 1000 500
2672 C A1335 5 15 1000 500
2674 C A1336 6 15 1000 500
2676 C A1337 7 17 1000 500
2678 C A1338 8 16 1000 500
2680 C A1339 9 16 1000 500
2682 C A1340 10 15 1000 500
2684 C A1341 11 14 1000 500
2686 C A1342 12 15 1000 500
2688 C A1343 13 15 1000 500
2690 C A1344 14 15 1000 500
2692 C A1345 15 14 1000 500
2694 C A1346 16 14 1000 500
2696 C A1347 17 14 1000 500
2698 C A1348 18 12 1000 500
2700 C A1349 19 14 1000 500
2702 C A1350 20 13 1000 500
2704 C A1351 21 13 1000 500
2706 C A1352 22 13 1000 500
2708 C A1353 23 14 1000 500
2710 C A1354 24 14 1000 500
2712 C A1355 25 13 1000 500
2714 C A1356 26 14 1000 500
2716 C A1357 27 14 1000 500
2718 C A1358 28 14 1000 500
2720 C A1359 29 13 1000 500
2722 C A1360 30 14 1000 500
2724 C A1361 31 14 1000 500
2726 C A1362 32 13 1000 500
2728 C A1363 33 14 1000 500
2730 C A1364 34 13 1000 500
2732 C A1365 35 14 1000 500
2734 C A1366 36 13 1000 500
2736 C A1367 37 9 1000 500
2738 C A1368 38 13 1000 500
2740 C A1369 39 13 1000 500
2742 C A1370 40 14 1000 500
2744 C A1371 41 14 1000 500
2746 C A1372 42 13 1000 500
2748 C A1373 43 14 1000 500
2750 C A1374 44 14 1000 500
2752 C A1375 45 13 1000 500
2754 C A1376 46 13 1000 500
2756 C A1377 47 14 1000 500
2758 C A1378 48 13 1000 500
2760 C A1379 49 13 1000 500
2762 C A1380 50 13 1000 500
2764 C A1381 51 14 1000 500
2766 C A1382 52 13 1000 500
2768 C A1383 53 14 1000 500
2770 C A1384 54 14 1000 500
2772 C A1385 55 13 1000 500
2774 C A1386 56 12 1000 500
2776 C A1387 57 13 1000 500
2778 C A1388 58 14 1000 500
2780 C A1389 59 14 1000 500
2782 C A1390 60 14 1000 500
2784 C A1391 61 13 1000 500
2786 C A1392 62 13 1000 500
2788 C A1393 63 13 1000 500
2790 C A1394 64 13 1000 500
2792 C A1395 65 12 1000 500
2794 C A1396 66 12 1000 500
2796 C A1397 67 14 1000 500
2798 C A1398 68 14 1000 500
2800 C A1399 69 14 1000 500
2802 C A1400 70 13 1000 500
2804 C A1401 71 13 1000 500
2806 C A1402 72 14 1000 500
2808 C A1403 73 13 1000 500
2810 C A1404 74 13 1000 500
2812 C A1405 75 13 1000 500
2814 C A1406 76 14 1000 500
2816 C A1407 77 13 1000 500
2818 C A1408 78 14 1000 500
2820 C A1409 79 13 1000 500
2822 C A1410 80 13 1000 500
2824 C A1411 81 13 1000 500
2826 C A1412 82 13 1000 500
2828 C A1413 83 12 1000 500
2830 C A1414 84 14 1000 500
2832 C A1415 85 13 1000 500
2834 C A1416 86 14 1000 500
2836 C A1417 87 13 1000 500
2838 C A1418 88 13 1000 500
2840 C A1419 89 14 1000 500
2842 C A1420 90 13 1000 500
2844 C A1421 91 12 1000 500
2846 C A1422 92 13 1000 500
2848 C A1423 93 14 1000 500
2850 C A1424 94 13 1000 500
2852 C A1425 95 14 1000 500
2854 C A1426 96 8 1000 500
2856 C A1427 97 13 1000 500
2858 C A1428 98 13 1000 500
2860 C A1429 99 13 1000 500
2862 C A1430 0 9 1000 500
2864 C A1431 1 12 1000 500
2866 C A1432 2 14 1000 500
2868 C A1433 3 12 1000 500
2870 C A1434 4 11 1000 500
2872 C A1435 5 16 1000 500
2874 C A1436 6 16 1000 500
2876 C A1437 7 18 1000 500
2878 C A1438 8 17 1000 500
2880 C A1439 9 17 1000 500
2882 C A1440 10 16 1000 500
2884 C A1441 11 15 1000 500
2886 C A1442 12 16 1000 500
2888 C A1443 13 16 1000 500
2890 C A1444 14 16 1000 500
2892 C A1445 15 16 1000 500
2894 C A1446 16 15 1000 500
2896 C A1447 17 15 1000 500
2898 C A1448 18 13 1000 500
2900 C A1449 19 15 1000 500
2902 C A1450 20 14 1000 500
2904 C A1451 21 14 1000 500
2906 C A1452 22 15 1000 500
2908 C A1453 23 15 1000 500
2910 C A1454 24 15 1000 500
2912 C A1455 25 14 1000 500
2914 C A1456 26 15 1000 500
2916 C A1457 27 15 1000 500
2918 C A1458 28 15 1000 500
2920 C A1459 29 14 1000 500
2922 C A1460 30 15 1000 500
2924 C A1461 31 15 1000 500
2926 C A1462 32 14 1000 500
2928 C A1463 33 15 1000 500
2930 C A1464 34 14 1000 500
2932 C A1465 35 15 1000 500
2934 C A1466 36 14 1000 500
2936 C A1467 37 10 1000 500
2938 C A1468 38 14 1000 500
2940 C A1469 39 14 1000 500
2942 C A1470 40 15 1000 500
2944 C A1471 41 15 1000 500
2946 C A1472 42 14 1000 500
2948 C A1473 43 15 1000 500
2950 C A1474 44 15 1000 500
2952 C A1475 45 14 1000 500
2954 C A1476 46 14 1000 500
2956 C A1477 47 15 1000 500
2958 C A1478 48 14 1000 500
2960 C A1479 49 14 1000 500
2962 C A1480 50 14 1000 500
2964 C A1481 51 15 1000 500
2966 C A1482 52 14 1000 500
2968 C A1483 53 15 1000 500
2970 C A1484 54 15 1000 500
2972 C A1485 55 14 1000 500
2974 C A1486 56 13 1000 500
2976 C A1487 57 14 1000 500
2978 C A1488 58 15 1000 500
2980 C A1489 59 15 1000 500
2982 C A1490 60 15 1000 500
2984 C A1491 61 14 1000 500
2986 C A1492 62 15 1000 500
2988 C A1493 63 14 1000 500
2990 C A1494 64 14 1000 500
2992 C A1495 65 13 1000 500
2994 C A1496 66 13 1000 500
2996 C A1497 67 15 1000 500
2998 C A1498 68 15 1000 500
3000 C A1499 69 15 1000 500
3002 C A1500 70 14 1000 500
3004 C A1501 71 14 1000 500
3006 C A1502 72 15 1000 500
3008 C A1503 73 14 1000 500
3010 C A1504 74 14 1000 500
3012 C A1505 75 14 1000 500
3014 C A1506 76 15 1000 500
3016 C A1507 77 14 1000 500
3018 C A1508 78 15 1000 500
3020 C A1509 79 14 1000 500
3022 C A1510 80 14 1000 500
3024 C A1511 81 14 1000 500
3026 C A1512 82 14 1000 500
3028 C A1513 83 13 1000 500
3030 C A1514 84 15 1000 500
3032 C A1515 85 14 1000 500
3034 C A1516 86 15 1000 500
3036 C A1517 87 14 1000 500
3038 C A1518 88 14 1000 500
3040 C A1519 89 15 1000 500
3042 C A1520 90 14 1000 500
3044 C A1521 91 14 1000 500
3046 C A1522 92 14 1000 500
3048 C A1523 93 15 1000 500
3050 C A1524 94 14 1000 500
3052 C A1525 95 15 1000 500
3054 C A1526 96 9 1000 500
3056 C A1527 97 14 1000 500
3058 C A1528 98 14 1000 500
3060 C A1529 99 14 1000 500
3062 C A1530 0 10 1000 500
3064 C A1531 1 13 1000 500
3066 C A1532 2 16 1000 500
3068 C A1533 3 15 1000 500
3070 C A1534 4 12 1000 500
3072 C A1535 5 17 1000 500
3074 C A1536 6 17 1000 500
3076 C A1537 7 19 1000 500
3078 C A1538 8 18 1000 500
3080 C A1539 9 18 1000 500
3082 C A1540 10 17 1000 500
3084 C A1541 11 16 1000 500
3086 C A1542 12 17 1000 500
3088 C A1543 13 17 1000 500
3090 C A1544 14 17 1000 500
3092 C A1545 15 17 1000 500
3094 C A1546 16 17 1000 500
3096 C A1547 17 16 1000 500
3098 C A1548 18 14 1000 500
3100 C A1549 19 16 1000 500
3102 C A1550 20 15 1000 500
3104 C A1551 21 15 1000 500
3106 C A1552 22 16 1000 500
3108 C A1553 23 16 1000 500
3110 C A1554 24 16 1000 500
3112 C A1555 25 15 1000 500
3114 C A1556 26 16 1000 500
3116 C A1557 27 16 1000 500
3118 C A1558 28 16 1000 500
3120 C A1559 29 16 1000 500
3122 C A1560 30 16 1000 500
3124 C A1561 31 16 1000 500
3126 C A1562 32 15 1000 500
3128 C A1563 33 16 1000 500
3130 C A1564 34 15 1000 500
3132 C A1565 35 16 1000 500
3134 C A1566 36 15 1000 500
3136 C A1567 37 12 1000 500
3138 C A1568 38 15 1000 500
3140 C A1569 39 15 1000 500
3142 C A1570 40 16 1000 500
3144 C A1571 41 16 1000 500
3146 C A1572 42 15 1000 500
3148 C A1573 43 16 1000 500
3150 C A1574 44 16 1000 500
3152 C A1575 45 15 1000 500
3154 C A1576 46 15 1000 500
3156 C A1577 47 16 1000 500
3158 C A1578 48 15 1000 500
3160 C A1579 49 16 1000 500
3162 C A1580 50 15 1000 500
3164 C A1581 51 16 1000 500
3166 C A1582 52 15 1000 500
3168 C A1583 53 16 1000 500
3170 C A1584 54 16 1000 500
3172 C A1585 55 15 1000 500
3174 C A1586 56 14 1000 500
3176 C A1587 57 15 1000 500
3178 C A1588 58 16 1000 500
3180 C A1589 59 16 1000 500
3182 C A1590 60 16 1000 500
3184 C A1591 61 15 1000 500
3186 C A1592 62 16 1000 500
3188 C A1593 63 16 1000 500
3190 C A1594 64 15 1000 500
3192 C A1595 65 14 1000 500
3194 C A1596 66 14 1000 500
3196 C A1597 67 16 1000 500
3198 C A1598 68 16 1000 500
3200 C A1599 69 16 1000 500
3202 C A1600 70 15 1000 500
3204 C A1601 71 16 1000 500
3206 C A1602 72 16 1000 500
3208 C A1603 73 15 1000 500
3210 C A1604 74 16 1000 500
3212 C A1605 75 15 1000 500
3214 C A1606 76 16 1000 500
3216 C A1607 77 15 1000 500
3218 C A1608 78 16 1000 500
3220 C A1609 79 15 1000 500
3222 C A1610 80 15 1000 500
3224 C A1611 81 15 1000 500
3226 C A1612 82 15 1000 500
3228 C A1613 83 14 1000 500
3230 C A1614 84 16 1000 500
3232 C A1615 85 15 1000 500
3234 C A1616 86 16 1000 500
3236 C A1617 87 15 1000 500
3238 C A1618 88 15 1000 500
3240 C A1619 89 16 1000 500
3242 C A1620 90 16 1000 500
3244 C A1621 91 15 1000 500
3246 C A1622 92 15 1000 500
3248 C A1623 93 16 1000 500
3250 C A1624 94 15 1000 500
3252 C A1625 95 16 1000 500
3254 C A1626 96 10 1000 500
3256 C A1627 97 15 1000 500
3258 C A1628 98 15 1000 500
3260 C A1629 99 15 1000 500
3262 C A1630 0 12 1000 500
3264 C A1631 1 15 1000 500
3266 C A1632 2 17 1000 500
3268 C A1633 3 16 1000 500
3270 C A1634 4 13 1000 500
3272 C A1635 5 18 1000 500
3274 C A1636 6 18 1000 500
3276 C A1637 7 20 1000 500
3278 C A1638 8 20 1000 500
3280 C A1639 9 19 1000 500
3282 C A1640 10 18 1000 500
3284 C A1641 11 17 1000 500
3286 C A1642 12 18 1000 500
3288 C A1643 13 18 1000 500
3290 C A1644 14 18 1000 500
3292 C A1645 15 18 1000 500
3294 C A1646 16 18 1000 500
3296 C A1647 17 18 1000 500
3298 C A1648 18 15 1000 500
3300 C A1649 19 17 1000 500
3302 C A1650 20 16 1000 500
3304 C A1651 21 16 1000 500
3306 C A1652 22 17 1000 500
3308 C A1653 23 17 1000 500
3310 C A1654 24 17 1000 500
3312 C A1655 25 16 1000 500
3314 C A1656 26 17 1000 500
3316 C A1657 27 17 1000 500
3318 C A1658 28 17 1000 500
3320 C A1659 29 17 1000 500
3322 C A1660 30 17 1000 500
3324 C A1661 31 17 1000 500
3326 C A1662 32 16 1000 500
3328 C A1663 33 17 1000 500
3330 C A1664 34 16 1000 500
3332 C A1665 35 17 1000 500
3334 C A1666 36 16 1000 500
3336 C A1667 37 13 1000 500
3338 C A1668 38 16 1000 500
3340 C A1669 39 16 1000 500
3342 C A1670 40 17 1000 500
3344 C A1671 41 17 1000 500
3346 C A1672 42 16 1000 500
3348 C A1673 43 17 1000 500
3350 C A1674 44 17 1000 500
3352 C A1675 45 16 1000 500
3354 C A1676 46 16 1000 500
3356 C A1677 47 17 1000 500
3358 C A1678 48 16 1000 500
3360 C A1679 49 17 1000 500
3362 C A1680 50 16 1000 500
3364 C A1681 51 17 1000 500
3366 C A1682 52 16 1000 500
3368 C A1683 53 17 1000 500
3370 C A1684 54 17 1000 500
3372 C A1685 55 16 1000 500
3374 C A1686 56 15 1000 500
3376 C A1687 57 16 1000 500
3378 C A1688 58 17 1000 500
3380 C A1689 59 17 1000 500
3382 C A1690 60 17 1000 500
3384 C A1691 61 16 1000 500
